Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Label
2024-02-12 23:04:08.358,9.6103,-0.5938,2.0399,56,False,faceLeft
2024-02-12 23:04:08.476,9.5936,-0.5028,2.083,56,False,faceLeft
2024-02-12 23:04:08.638,9.5361,-0.5004,2.1356,56,False,faceLeft
2024-02-12 23:04:08.796,9.5984,-0.6225,2.1308,56,False,faceLeft
2024-02-12 23:04:24.732,9.5864,-0.6656,2.0925,56,False,faceLeft
2024-02-12 23:04:24.756,9.5696,-0.5363,2.0997,56,False,faceLeft
2024-02-12 23:04:24.759,9.7612,-0.577,2.083,56,False,faceLeft
2024-02-12 23:04:24.886,9.5433,-0.5746,2.15,56,False,faceLeft
2024-02-12 23:04:25.050,9.5553,-0.6225,2.0734,56,False,faceLeft
2024-02-12 23:04:25.210,9.5792,-0.5962,2.083,56,False,faceLeft
2024-02-12 23:04:30.880,9.6127,-0.6177,2.059,56,False,faceLeft
2024-02-12 23:04:30.894,9.6223,-0.6512,2.0806,56,False,faceLeft
2024-02-12 23:04:31.001,9.5648,-0.5028,2.047,56,False,faceLeft
2024-02-12 23:04:31.164,9.5648,-0.5962,2.0135,56,False,faceLeft
2024-02-12 23:04:31.324,9.56,-0.5315,2.1596,56,False,faceLeft
2024-02-12 23:04:31.484,9.6055,-0.6057,2.1045,56,False,faceLeft
2024-02-12 23:04:31.643,9.5936,-0.6345,2.0542,56,False,faceLeft
2024-02-12 23:04:31.803,9.5816,-0.6321,2.1069,56,False,faceLeft
2024-02-12 23:04:48.813,9.5768,-0.6177,2.0806,56,False,faceLeft
2024-02-12 23:04:48.833,9.5744,-0.6225,2.1189,56,False,faceLeft
2024-02-12 23:04:48.864,9.5768,-0.5076,2.0853,56,False,faceLeft
2024-02-12 23:04:49.022,9.6151,-0.5555,2.0686,56,False,faceLeft
2024-02-12 23:04:49.186,9.5912,-0.5195,2.083,56,False,faceLeft
2024-02-12 23:04:49.346,9.5433,-0.5555,2.0949,56,False,faceLeft
2024-02-12 23:04:49.505,9.5361,-0.5794,2.0446,56,False,faceLeft
2024-02-12 23:04:49.666,9.572,-0.6464,2.1117,56,False,faceLeft
2024-02-12 23:04:49.825,9.5385,-0.6919,2.1213,56,False,faceLeft
2024-02-12 23:04:49.984,9.5553,-0.6177,2.0782,56,False,faceLeft
2024-02-12 23:04:50.143,9.5984,-0.6512,2.0806,56,False,faceLeft
2024-02-12 23:04:50.305,9.5816,-0.6345,2.0446,56,False,faceLeft
2024-02-12 23:04:53.406,9.6582,-0.5339,2.0997,56,False,faceLeft
2024-02-12 23:04:53.512,9.5912,-0.7039,2.0207,56,False,faceLeft
2024-02-12 23:04:53.676,9.5648,-0.7063,2.0351,56,False,faceLeft
2024-02-12 23:04:53.833,9.5553,-0.6608,2.0614,56,False,faceLeft
2024-02-12 23:05:08.769,9.5768,-0.6081,2.083,56,False,faceLeft
2024-02-12 23:05:08.773,9.5505,-0.4741,2.083,56,False,faceLeft
2024-02-12 23:05:08.800,9.5768,-0.7159,2.1284,56,False,faceLeft
2024-02-12 23:05:08.963,9.596,-0.6847,2.0901,56,False,faceLeft
2024-02-12 23:05:09.121,9.5792,-0.644,2.0542,56,False,faceLeft
2024-02-12 23:05:09.287,9.5912,-0.6776,2.1069,56,False,faceLeft
2024-02-12 23:05:09.916,9.5696,-0.5459,2.0231,56,False,faceLeft
2024-02-12 23:05:09.933,9.5672,-0.5962,2.0423,56,False,faceLeft
2024-02-12 23:05:10.089,9.5864,-0.5435,2.0327,56,False,faceLeft
2024-02-12 23:05:10.248,9.572,-0.5818,2.1165,56,False,faceLeft
2024-02-12 23:05:10.408,9.5217,-0.6057,2.1189,56,False,faceLeft
2024-02-12 23:05:10.569,9.5768,-0.589,2.0614,56,False,faceLeft
2024-02-12 23:05:10.728,9.5768,-0.5818,2.1476,56,False,faceLeft
2024-02-12 23:05:10.887,9.56,-0.6201,2.0638,56,False,faceLeft
2024-02-12 23:05:11.048,9.6151,-0.6704,2.0997,56,False,faceLeft
2024-02-12 23:05:11.207,9.5505,-0.6608,2.1117,56,False,faceLeft
2024-02-12 23:05:11.367,9.596,-0.5794,2.071,56,False,faceLeft
2024-02-12 23:05:11.527,9.5385,-0.6297,2.1045,56,False,faceLeft
2024-02-12 23:05:11.686,9.6462,-0.5746,2.1045,56,False,faceLeft
2024-02-12 23:05:11.845,9.572,-0.5076,2.0614,56,False,faceLeft
2024-02-12 23:05:14.515,9.5672,-0.5076,2.0207,56,False,faceLeft
2024-02-12 23:05:14.521,9.5912,-0.644,2.083,56,False,faceLeft
2024-02-12 23:05:14.577,9.5792,-0.5531,2.0734,56,False,faceLeft
2024-02-12 23:05:14.740,9.584,-0.5698,2.0758,56,False,faceLeft
2024-02-12 23:05:14.901,9.5816,-0.4741,2.0686,56,False,faceLeft
2024-02-12 23:05:15.060,9.6151,-0.5626,2.1237,56,False,faceLeft
2024-02-12 23:05:20.653,9.5984,-0.7039,2.1308,56,False,faceLeft
2024-02-12 23:05:20.683,9.5984,-0.4836,2.0806,56,False,faceLeft
2024-02-12 23:05:20.846,8.679,-0.5938,2.1213,56,False,faceLeft
2024-02-12 23:05:21.006,9.9695,-0.577,2.1596,56,False,faceLeft
2024-02-12 23:05:21.166,9.6367,-0.6225,2.1596,56,False,faceLeft
2024-02-12 23:05:24.246,9.5409,-0.589,2.071,56,False,faceLeft
2024-02-12 23:05:24.252,9.5744,-0.6177,2.0494,56,False,faceLeft
2024-02-12 23:05:24.385,9.6869,-0.6488,2.0949,56,False,faceLeft
2024-02-12 23:05:24.545,9.5744,-0.6225,2.1141,56,False,faceLeft
2024-02-12 23:05:24.704,9.6007,-0.6536,2.0423,56,False,faceLeft
2024-02-12 23:05:46.235,9.5744,-0.7039,2.0542,56,False,faceLeft
2024-02-12 23:05:46.242,9.5648,-0.7159,2.1141,56,False,faceLeft
2024-02-12 23:05:46.265,9.5672,-0.668,2.071,56,False,faceLeft
2024-02-12 23:05:46.427,9.5936,-0.7374,2.0806,56,False,faceLeft
2024-02-12 23:05:46.587,9.5217,-0.6345,2.0782,56,False,faceLeft
2024-02-12 23:05:46.748,9.5289,-0.6369,2.0782,56,False,faceLeft
2024-02-12 23:05:52.900,9.6103,-0.6464,2.1284,56,False,faceLeft
2024-02-12 23:05:53.020,9.6367,-0.6416,2.0901,56,False,faceLeft
2024-02-12 23:05:53.183,9.6247,-0.6153,2.071,56,False,faceLeft
2024-02-12 23:05:53.342,9.5457,-0.5842,2.0901,56,False,faceLeft
2024-02-12 23:05:53.932,9.5505,-0.6584,2.1356,56,False,faceLeft
2024-02-12 23:05:53.951,9.5768,-0.7183,2.0614,56,False,faceLeft
2024-02-12 23:05:53.987,9.56,-0.7063,2.0016,56,False,faceLeft
2024-02-12 23:05:54.147,9.5409,-0.6776,2.0494,56,False,faceLeft
2024-02-12 23:05:54.307,9.5672,-0.5938,2.0423,56,False,faceLeft
2024-02-12 23:05:54.946,9.6103,-0.5698,2.0877,56,False,faceLeft
2024-02-12 23:05:54.957,9.5529,-0.6249,2.0734,56,False,faceLeft
2024-02-12 23:05:54.970,9.5146,-0.6081,2.0662,56,False,faceLeft
2024-02-12 23:05:55.103,9.5816,-0.5914,2.0734,56,False,faceLeft
2024-02-12 23:05:55.264,9.6151,-0.6105,2.0207,56,False,faceLeft
2024-02-12 23:05:55.425,9.5984,-0.6273,2.1189,56,False,faceLeft
2024-02-12 23:05:56.986,9.5984,-0.6321,2.0542,56,False,faceLeft
2024-02-12 23:05:57.001,9.5648,-0.6512,2.0686,56,False,faceLeft
2024-02-12 23:05:57.025,9.6103,-0.5914,2.1284,56,False,faceLeft
2024-02-12 23:05:57.190,9.5744,-0.5698,2.1404,56,False,faceLeft
2024-02-12 23:05:57.350,9.6079,-0.5339,2.0351,56,False,faceLeft
2024-02-12 23:05:57.507,9.517,-0.5387,2.0662,56,False,faceLeft
2024-02-12 23:06:15.547,9.5313,-0.5722,2.0375,56,False,faceLeft
2024-02-12 23:06:15.567,9.5744,-0.5387,2.0925,56,False,faceLeft
2024-02-12 23:06:15.693,9.6055,-0.6273,2.0925,56,False,faceLeft
2024-02-12 23:06:15.853,9.596,-0.6297,2.0949,56,False,faceLeft
2024-02-12 23:06:16.014,9.5529,-0.6369,2.0734,56,False,faceLeft
2024-02-12 23:06:16.247,9.6103,-0.6752,2.0662,56,False,faceLeft
2024-02-12 23:06:16.260,9.5337,-0.6129,2.1021,56,False,faceLeft
2024-02-12 23:06:16.330,9.5577,-0.6321,2.047,56,False,faceLeft
2024-02-12 23:06:20.149,9.5624,-0.7302,2.0494,56,False,faceLeft
2024-02-12 23:06:20.159,9.6199,-0.6225,2.1093,56,False,faceLeft
2024-02-12 23:06:20.196,9.5577,-0.5746,2.0662,56,False,faceLeft
2024-02-12 23:06:20.359,9.5457,-0.5674,2.0877,56,False,faceLeft
2024-02-12 23:06:20.521,9.5265,-0.6416,2.083,56,False,faceLeft
2024-02-12 23:06:37.029,9.5577,-0.5674,2.1308,56,False,faceLeft
2024-02-12 23:06:37.038,9.572,-0.6273,2.0758,56,False,faceLeft
2024-02-12 23:06:37.086,9.5648,-0.5315,2.0973,56,False,faceLeft
2024-02-12 23:06:37.249,9.5457,-0.5698,2.0949,56,False,faceLeft
2024-02-12 23:06:37.411,9.56,-0.5866,2.1237,56,False,faceLeft
2024-02-12 23:06:37.569,9.6007,-0.5315,2.0542,56,False,faceLeft
2024-02-12 23:06:57.008,9.5672,-0.5148,2.1069,56,False,faceLeft
2024-02-12 23:06:57.042,9.56,-0.6057,2.0614,56,False,faceLeft
2024-02-12 23:06:57.202,9.572,-0.6009,2.0255,56,False,faceLeft
2024-02-12 23:06:57.364,9.5696,-0.6177,2.0231,56,False,faceLeft
2024-02-12 23:06:57.525,9.5936,-0.7015,2.0758,56,False,faceLeft
2024-02-12 23:07:03.697,9.5696,-0.6512,2.0925,56,False,faceLeft
2024-02-12 23:07:03.706,9.596,-0.5124,2.071,56,False,faceLeft
2024-02-12 23:07:03.800,9.5984,-0.6512,2.0782,56,False,faceLeft
2024-02-12 23:07:03.966,9.6247,-0.668,2.0614,56,False,faceLeft
2024-02-12 23:07:04.124,9.6247,-0.7159,2.0399,56,False,faceLeft
2024-02-12 23:07:07.747,9.5864,-0.6991,2.0566,56,False,faceLeft
2024-02-12 23:07:07.763,9.6079,-0.5818,2.0686,56,False,faceLeft
2024-02-12 23:07:07.813,9.5624,-0.7111,2.0399,56,False,faceLeft
2024-02-12 23:07:07.975,9.5481,-0.6704,2.0566,56,False,faceLeft
2024-02-12 23:07:08.134,9.56,-0.6704,2.0853,56,False,faceLeft
2024-02-12 23:07:32.329,9.5289,-0.6081,2.0207,56,False,faceLeft
2024-02-12 23:07:32.337,9.5433,-0.7039,2.0734,56,False,faceLeft
2024-02-12 23:07:32.434,9.572,-0.5243,2.1141,56,False,faceLeft
2024-02-12 23:07:32.597,9.6151,-0.5555,2.0997,56,False,faceLeft
2024-02-12 23:07:32.756,9.5385,-0.589,2.1021,56,False,faceLeft
2024-02-12 23:07:49.229,9.5313,-0.6129,2.1261,56,False,faceLeft
2024-02-12 23:07:49.263,9.5864,-0.5722,2.1284,56,False,faceLeft
2024-02-12 23:07:49.336,9.5984,-0.6225,2.0925,56,False,faceLeft
2024-02-12 23:07:49.499,9.5457,-0.6464,2.083,56,False,faceLeft
2024-02-12 23:07:49.659,9.6295,-0.68,2.0853,56,False,faceLeft
2024-02-12 23:07:59.472,9.5529,-0.6608,2.0638,56,False,faceLeft
2024-02-12 23:07:59.489,9.663,-0.6081,2.1069,56,False,faceLeft
2024-02-12 23:07:59.493,9.5505,-0.5339,2.0853,56,False,faceLeft
2024-02-12 23:07:59.629,9.5217,-0.5507,2.0423,56,False,faceLeft
2024-02-12 23:07:59.792,9.5385,-0.5028,2.1165,56,False,faceLeft
2024-02-12 23:07:59.953,9.5768,-0.5148,2.0925,56,False,faceLeft
2024-02-12 23:08:00.181,9.5074,-0.6033,2.0782,56,False,faceLeft
2024-02-12 23:08:00.190,9.5337,-0.6536,2.0423,56,False,faceLeft
2024-02-12 23:08:00.269,9.5577,-0.6704,2.0925,56,False,faceLeft
2024-02-12 23:08:02.536,9.5768,-0.6967,2.0327,56,False,faceLeft
2024-02-12 23:08:02.550,9.5672,-0.7015,2.0446,56,False,faceLeft
2024-02-12 23:08:02.558,9.5577,-0.5722,2.1045,56,False,faceLeft
2024-02-12 23:08:02.682,9.5385,-0.5219,2.1165,56,False,faceLeft
2024-02-12 23:08:02.842,9.596,-0.5962,2.0423,56,False,faceLeft
2024-02-12 23:08:03.001,9.6175,-0.6105,2.0782,56,False,faceLeft
2024-02-12 23:08:09.189,9.6079,-0.6201,2.047,56,False,faceLeft
2024-02-12 23:08:09.202,9.6295,-0.5483,2.1213,56,False,faceLeft
2024-02-12 23:08:09.269,9.5744,-0.6201,2.0518,56,False,faceLeft
2024-02-12 23:08:09.432,9.56,-0.6201,2.0423,56,False,faceLeft
2024-02-12 23:08:09.593,9.5385,-0.6249,2.0183,56,False,faceLeft
2024-02-12 23:08:25.576,9.6798,-0.6201,2.0782,56,False,faceLeft
2024-02-12 23:08:25.589,9.5984,-0.6033,2.0782,56,False,faceLeft
2024-02-12 23:08:25.686,9.6079,-0.589,2.0806,56,False,faceLeft
2024-02-12 23:08:25.851,9.5433,-0.6943,2.0542,56,False,faceLeft
2024-02-12 23:08:26.012,9.6055,-0.6991,2.0351,56,False,faceLeft
2024-02-12 23:08:32.750,9.5984,-0.6057,2.0231,56,False,faceLeft
2024-02-12 23:08:32.764,9.5672,-0.6632,2.059,56,False,faceLeft
2024-02-12 23:08:32.773,9.5193,-0.6871,2.0063,56,False,faceLeft
2024-02-12 23:08:32.926,9.6319,-0.5866,2.0806,56,False,faceLeft
2024-02-12 23:08:33.086,9.5624,-0.6488,2.059,56,False,faceLeft
2024-02-12 23:08:33.249,9.5744,-0.5483,2.0949,56,False,faceLeft
2024-02-12 23:08:33.773,9.6151,-0.6177,2.0997,56,False,faceLeft
2024-02-12 23:08:33.883,9.6079,-0.6584,2.0734,56,False,faceLeft
2024-02-12 23:08:34.045,9.5648,-0.6488,2.1237,56,False,faceLeft
2024-02-12 23:08:34.205,9.56,-0.6321,2.0782,56,False,faceLeft
2024-02-12 23:08:58.350,9.6199,-0.6369,2.0423,56,False,faceLeft
2024-02-12 23:08:58.380,9.584,-0.7039,2.1045,56,False,faceLeft
2024-02-12 23:08:58.388,9.5912,-0.5842,2.083,56,False,faceLeft
2024-02-12 23:08:58.507,9.5265,-0.6081,2.0997,56,False,faceLeft
2024-02-12 23:08:58.671,9.517,-0.5243,2.0542,56,False,faceLeft
2024-02-12 23:08:58.832,9.5265,-0.565,2.15,56,False,faceLeft
2024-02-12 23:09:19.346,9.6031,-0.5746,2.0782,56,False,faceLeft
2024-02-12 23:09:19.427,9.6007,-0.7254,2.0279,56,False,faceLeft
2024-02-12 23:09:19.591,9.6127,-0.7015,2.0207,56,False,faceLeft
2024-02-12 23:09:19.751,9.5577,-0.6823,2.0662,56,False,faceLeft
2024-02-12 23:09:39.311,9.6007,-0.6033,2.0686,56,False,faceLeft
2024-02-12 23:09:39.333,9.6175,-0.5602,2.1404,56,False,faceLeft
2024-02-12 23:09:39.384,9.6223,-0.5291,2.0542,56,False,faceLeft
2024-02-12 23:09:39.547,9.6606,-0.6369,2.0183,56,False,faceLeft
2024-02-12 23:09:39.706,9.596,-0.5962,2.1284,56,False,faceLeft
2024-02-12 23:09:43.925,9.5864,-0.6416,2.0782,56,False,faceLeft
2024-02-12 23:09:43.934,9.56,-0.5938,2.0566,56,False,faceLeft
2024-02-12 23:09:44.048,9.6295,-0.6632,2.0566,56,False,faceLeft
2024-02-12 23:09:44.210,9.596,-0.6081,2.0351,56,False,faceLeft
2024-02-12 23:09:44.368,9.6055,-0.6488,2.0423,56,False,faceLeft
2024-02-12 23:10:10.048,9.5768,-0.5531,2.0782,56,False,faceLeft
2024-02-12 23:10:10.067,9.5792,-0.6321,2.0901,56,False,faceLeft
2024-02-12 23:10:10.109,9.596,-0.68,2.0901,56,False,faceLeft
2024-02-12 23:10:10.273,9.6103,-0.6632,2.0901,56,False,faceLeft
2024-02-12 23:10:10.432,9.5936,-0.656,2.0614,56,False,faceLeft
2024-02-12 23:10:10.593,9.5672,-0.5986,2.1021,56,False,faceLeft
2024-02-12 23:10:10.753,9.572,-0.5363,2.0351,56,False,faceLeft
2024-02-12 23:10:10.911,9.6079,-0.4956,2.0806,56,False,faceLeft
2024-02-12 23:10:11.071,9.5816,-0.5363,2.0734,56,False,faceLeft
2024-02-12 23:10:11.231,9.5433,-0.5387,2.0351,56,False,faceLeft
2024-02-12 23:10:35.106,9.596,-0.5986,2.0686,56,False,faceLeft
2024-02-12 23:10:35.124,9.584,-0.5962,2.1308,56,False,faceLeft
2024-02-12 23:10:35.205,9.5529,-0.589,2.1021,56,False,faceLeft
2024-02-12 23:10:35.369,9.5433,-0.7135,2.1141,56,False,faceLeft
2024-02-12 23:10:35.529,9.5553,-0.7063,2.0638,56,False,faceLeft
2024-02-12 23:10:45.459,9.6151,-0.6871,2.1189,56,False,faceLeft
2024-02-12 23:10:45.473,9.5505,-0.6656,2.0997,56,False,faceLeft
2024-02-12 23:10:45.509,9.5385,-0.7039,2.047,56,False,faceLeft
2024-02-12 23:10:45.672,9.5936,-0.6225,2.1021,56,False,faceLeft
2024-02-12 23:10:45.832,9.5648,-0.5483,2.0973,56,False,faceLeft
2024-02-12 23:10:45.993,9.5289,-0.5746,2.1237,56,False,faceLeft
2024-02-12 23:10:46.502,9.5577,-0.6273,2.0494,56,False,faceLeft
2024-02-12 23:10:46.505,9.6151,-0.577,2.1021,56,False,faceLeft
2024-02-12 23:10:46.626,9.6247,-0.589,2.1213,56,False,faceLeft
2024-02-12 23:10:46.788,9.5864,-0.6201,2.0494,56,False,faceLeft
2024-02-12 23:10:46.948,9.5936,-0.6177,2.1548,56,False,faceLeft
2024-02-12 23:11:01.839,9.5744,-0.6369,2.0901,56,False,faceLeft
2024-02-12 23:11:01.851,9.5696,-0.5267,2.1404,56,False,faceLeft
