Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?
2024/02/12 12:49:12:564,0.17,-0.0527,-10.0437,97,false
2024/02/12 12:49:12:723,0.237,-0.1077,-9.9599,97,false
2024/02/12 12:49:12:883,0.2083,-0.1341,-10.0078,97,false
2024/02/12 12:49:13:046,0.2227,-0.0838,-9.9383,97,false
2024/02/12 12:49:13:204,0.2035,-0.1125,-9.9431,97,false
2024/02/12 12:49:13:364,0.2227,-0.1221,-9.9862,97,false
2024/02/12 12:49:13:525,0.1484,-0.0766,-9.9551,97,false
2024/02/12 12:49:13:684,0.2179,-0.1413,-9.9311,97,false
2024/02/12 12:49:13:845,0.2298,-0.0982,-9.9551,97,false
2024/02/12 12:49:14:006,0.1772,-0.1006,-9.9862,97,false
2024/02/12 12:49:14:165,0.249,-0.1053,-9.9766,97,false
2024/02/12 12:49:14:325,0.2466,-0.091,-9.9862,97,false
2024/02/12 12:49:14:486,0.1604,-0.1149,-9.9862,97,false
2024/02/12 12:49:14:646,0.2059,-0.103,-9.9335,97,false
2024/02/12 12:49:14:805,0.1844,-0.146,-9.9934,97,false
2024/02/12 12:49:14:966,0.2011,-0.0814,-10.0006,97,false
2024/02/12 12:49:15:126,0.1604,-0.1341,-9.991,97,false
2024/02/12 12:49:15:286,0.2107,-0.0982,-9.9479,97,false
2024/02/12 12:49:15:448,0.2083,-0.1125,-9.9527,97,false
2024/02/12 12:49:15:606,0.2227,-0.0479,-9.9575,97,false
2024/02/12 12:49:15:766,0.2203,-0.0838,-10.0078,97,false
2024/02/12 12:49:15:927,0.249,-0.1484,-9.979,97,false
2024/02/12 12:49:16:086,0.2538,-0.0982,-10.0245,97,false
2024/02/12 12:49:16:247,0.2442,-0.1365,-10.0245,97,false
2024/02/12 12:49:16:407,0.182,-0.0982,-9.9982,97,false
2024/02/12 12:49:16:567,0.2179,-0.0503,-10.003,97,false
2024/02/12 12:49:16:727,0.2274,-0.0479,-10.0006,97,false
2024/02/12 12:49:16:888,0.249,-0.1508,-10.0772,97,false
2024/02/12 12:49:17:048,0.2322,-0.0934,-9.9886,97,false
2024/02/12 12:49:17:207,0.1796,-0.1317,-10.0126,97,false
2024/02/12 12:49:17:368,0.2298,-0.1891,-9.979,97,false
2024/02/12 12:49:17:528,0.2705,-0.146,-10.003,97,false
2024/02/12 12:49:17:688,0.2346,-0.0958,-9.9886,97,false
2024/02/12 12:49:17:850,0.2083,-0.0862,-10.0149,97,false
2024/02/12 12:49:18:008,0.2418,-0.0718,-9.9742,97,false
2024/02/12 12:49:18:168,0.2538,-0.0934,-9.9479,97,false
2024/02/12 12:49:18:329,0.2274,-0.1221,-9.991,97,false
2024/02/12 12:49:18:488,0.2418,-0.1173,-9.9479,97,false
2024/02/12 12:49:18:650,0.2298,-0.1173,-10.0054,97,false
2024/02/12 12:49:18:810,0.237,-0.146,-9.9671,97,false
2024/02/12 12:49:18:968,0.2011,-0.0838,-9.9623,97,false
2024/02/12 12:49:19:129,0.1772,-0.1245,-9.9742,97,false
2024/02/12 12:49:19:290,0.2322,-0.0958,-9.9359,97,false
2024/02/12 12:49:19:450,0.2131,-0.1724,-9.9455,97,false
2024/02/12 12:49:19:609,0.2227,-0.1077,-9.9742,97,false
2024/02/12 12:49:19:771,0.2705,-0.1197,-9.9527,97,false
2024/02/12 12:49:19:930,0.2514,-0.0455,-9.9407,97,false
2024/02/12 12:49:20:090,0.2418,-0.0862,-9.9551,97,false
2024/02/12 12:49:20:252,0.2131,-0.1053,-10.0006,97,false
2024/02/12 12:49:20:410,0.2155,-0.0862,-9.9814,97,false
2024/02/12 12:49:20:570,0.316,-0.1149,-9.979,97,false
2024/02/12 12:49:20:732,0.2562,-0.0694,-9.9479,97,false
2024/02/12 12:49:20:891,0.2251,-0.1245,-10.0054,97,false
2024/02/12 12:49:21:051,0.2155,-0.1125,-10.003,97,false
2024/02/12 12:49:21:212,0.2394,-0.1173,-9.9958,97,false
2024/02/12 12:49:21:371,0.2227,-0.1293,-9.9575,97,false
2024/02/12 12:49:21:531,0.2059,-0.1293,-10.0102,97,false
2024/02/12 12:49:21:692,0.2155,-0.1389,-9.9407,97,false
2024/02/12 12:49:21:852,0.237,-0.0694,-10.0389,97,false
2024/02/12 12:49:22:012,0.1891,-0.0742,-9.9719,97,false
2024/02/12 12:49:22:173,0.2179,-0.0742,-9.9647,97,false
2024/02/12 12:49:22:332,0.2107,-0.1101,-9.9742,97,false
2024/02/12 12:49:22:492,0.2514,-0.0886,-9.991,97,false
2024/02/12 12:49:22:654,0.1772,-0.0886,-9.9982,97,false
2024/02/12 12:49:22:812,0.1987,-0.146,-10.003,97,false
2024/02/12 12:49:22:973,0.2203,-0.1245,-9.991,97,false
2024/02/12 12:49:23:134,0.2801,-0.1365,-9.8928,97,false
2024/02/12 12:49:23:293,0.2442,-0.1628,-9.9575,97,false
2024/02/12 12:49:23:454,0.1772,-0.1125,-9.9599,97,false
2024/02/12 12:49:23:614,0.261,-0.1532,-10.0748,97,false
2024/02/12 12:49:23:773,0.2107,-0.1221,-10.0245,97,false
2024/02/12 12:49:23:933,0.2274,-0.1197,-9.9575,97,false
2024/02/12 12:49:24:094,0.1844,-0.1413,-10.0102,97,false
2024/02/12 12:49:24:254,0.1532,-0.0814,-10.0126,97,false
2024/02/12 12:49:24:414,0.261,-0.2059,-9.9886,97,false
2024/02/12 12:49:24:575,0.2562,-0.091,-10.0078,97,false
2024/02/12 12:49:24:734,0.2442,-0.1197,-9.9695,97,false
2024/02/12 12:49:24:894,0.2322,-0.1197,-10.0509,97,false
2024/02/12 12:49:25:056,0.1796,-0.0551,-10.0365,97,false
2024/02/12 12:49:25:214,0.2825,-0.1101,-9.9455,97,false
2024/02/12 12:49:25:375,0.249,-0.1197,-9.991,97,false
2024/02/12 12:49:25:536,0.2562,-0.0958,-10.0102,97,false
2024/02/12 12:49:25:695,0.2059,-0.1269,-9.9575,97,false
2024/02/12 12:49:25:856,0.1891,-0.0982,-9.9623,97,false
2024/02/12 12:49:26:016,0.2322,-0.1149,-9.991,97,false
2024/02/12 12:49:26:175,0.1939,-0.1077,-9.9695,97,false
2024/02/12 12:49:26:336,0.3089,-0.1053,-10.0006,97,false
2024/02/12 12:49:26:497,0.2155,-0.182,-9.9527,97,false
2024/02/12 12:49:26:657,0.1915,-0.1077,-9.9719,97,false
2024/02/12 12:49:26:816,0.1748,-0.1437,-9.9766,97,false
2024/02/12 12:49:26:977,0.2227,-0.1365,-9.9719,97,false
2024/02/12 12:49:27:137,0.2011,-0.1125,-9.9838,97,false
2024/02/12 12:49:27:297,0.2011,-0.0862,-9.9814,97,false
2024/02/12 12:49:27:458,0.2011,-0.0455,-9.9599,97,false
2024/02/12 12:49:27:617,0.2083,-0.1724,-9.9862,97,false
2024/02/12 12:49:27:777,0.1796,-0.1772,-9.9623,97,false
2024/02/12 12:49:27:939,0.1341,-0.146,-9.9934,97,false
2024/02/12 12:49:28:098,0.2346,-0.1101,-9.9695,97,false
2024/02/12 12:49:28:258,0.3112,-0.0766,-9.9479,97,false
2024/02/12 12:49:28:419,0.1891,-0.1413,-10.0221,97,false
2024/02/12 12:49:28:578,0.2322,-0.1389,-9.9862,97,false
2024/02/12 12:49:28:738,0.2083,-0.0766,-9.991,97,false
2024/02/12 12:49:28:899,0.2442,-0.158,-9.9862,97,false
2024/02/12 12:49:29:059,0.1891,-0.1173,-9.9192,97,false
2024/02/12 12:49:29:219,0.2059,-0.103,-9.9647,97,false
2024/02/12 12:49:29:379,0.2634,-0.091,-10.0006,97,false
2024/02/12 12:49:29:539,0.1963,-0.0862,-9.9264,97,false
2024/02/12 12:49:29:699,0.2442,-0.1245,-10.0054,97,false
2024/02/12 12:49:29:860,0.2322,-0.1269,-9.9503,97,false
2024/02/12 12:49:30:019,0.2538,-0.0718,-9.9288,97,false
2024/02/12 12:49:30:179,0.2705,-0.0934,-9.9551,97,false
2024/02/12 12:49:30:340,0.2059,-0.1628,-10.0006,97,false
2024/02/12 12:49:30:499,0.2107,-0.1365,-9.9288,97,false
2024/02/12 12:49:30:660,0.2418,-0.1389,-9.9503,97,false
2024/02/12 12:49:30:821,0.2011,-0.0886,-9.9551,97,false
2024/02/12 12:49:30:980,0.2538,-0.146,-9.9551,97,false
2024/02/12 12:49:31:140,0.1844,-0.1221,-9.9192,97,false
2024/02/12 12:49:31:301,0.2658,-0.1317,-10.0006,97,false
2024/02/12 12:49:31:461,0.2322,-0.1413,-9.9742,97,false
2024/02/12 12:49:31:620,0.2059,-0.0934,-9.9192,97,false
2024/02/12 12:49:31:781,0.1987,-0.079,-10.003,97,false
2024/02/12 12:49:31:941,0.2203,-0.158,-10.0006,97,false
2024/02/12 12:49:32:101,0.2418,-0.1484,-9.924,97,false
2024/02/12 12:49:32:263,0.2682,-0.1053,-9.9766,97,false
2024/02/12 12:49:32:421,0.2825,-0.1365,-9.7947,97,false
2024/02/12 12:49:32:581,0.2394,-0.1173,-9.9742,97,false
2024/02/12 12:49:32:747,0.2562,-0.1389,-9.9264,97,false
2024/02/12 12:49:32:901,0.2251,-0.1413,-9.9695,97,false
2024/02/12 12:49:33:062,0.2274,-0.1652,-9.9742,97,false
2024/02/12 12:49:33:223,0.2993,-0.103,-9.9814,97,false
2024/02/12 12:49:33:382,0.1748,-0.1221,-9.9216,97,false
2024/02/12 12:49:33:542,0.2131,-0.0814,-9.9623,97,false
2024/02/12 12:49:33:703,0.17,-0.1221,-9.9742,97,false
2024/02/12 12:49:33:863,0.2083,-0.1844,-9.9647,97,false
2024/02/12 12:49:34:022,0.1556,-0.1269,-9.9862,97,false
2024/02/12 12:49:34:183,0.2011,-0.0982,-9.9479,97,false
2024/02/12 12:49:34:342,0.2538,-0.0862,-9.9335,97,false
2024/02/12 12:49:34:504,0.2155,-0.079,-9.9766,97,false
2024/02/12 12:49:34:667,0.2035,-0.1724,-9.9311,97,false
2024/02/12 12:49:34:823,0.2155,-0.1389,-9.9144,97,false
2024/02/12 12:49:34:983,0.249,-0.1341,-9.9575,97,false
2024/02/12 12:49:35:144,0.2227,-0.1053,-9.9814,97,false
2024/02/12 12:49:35:303,0.2227,-0.1508,-10.0054,97,false
2024/02/12 12:49:35:464,0.1939,-0.0982,-9.9168,97,false
2024/02/12 12:49:35:624,0.2059,-0.0934,-9.9814,97,false
2024/02/12 12:49:35:783,0.1748,-0.1604,-9.9383,97,false
2024/02/12 12:49:35:944,0.1844,-0.079,-9.9934,97,false
2024/02/12 12:49:36:105,0.2274,-0.1508,-9.9192,97,false
2024/02/12 12:49:36:265,0.2083,-0.0455,-9.9671,97,false
2024/02/12 12:49:36:424,0.1963,-0.1939,-9.9695,97,false
2024/02/12 12:49:36:585,0.1772,-0.0766,-9.9575,97,false
2024/02/12 12:49:36:744,0.2897,-0.1365,-9.9695,97,false
2024/02/12 12:49:36:905,0.2227,-0.1484,-9.9335,97,false
2024/02/12 12:49:37:067,0.2418,-0.1221,-9.9311,97,false
2024/02/12 12:49:37:225,0.2227,-0.1724,-9.9527,97,false
2024/02/12 12:49:37:385,0.2346,-0.1317,-9.9503,97,false
2024/02/12 12:49:37:546,0.2227,-0.0383,-9.9551,97,false
2024/02/12 12:49:37:705,0.2298,-0.1149,-9.9719,97,false
2024/02/12 12:49:37:866,0.2179,-0.1389,-9.991,97,false
2024/02/12 12:49:38:027,0.2753,-0.103,-9.9766,97,false
2024/02/12 12:49:38:186,0.2322,-0.1149,-9.9814,97,false
2024/02/12 12:49:38:346,0.2227,-0.1341,-9.9359,97,false
2024/02/12 12:49:38:507,0.2322,-0.1245,-9.9359,97,false
2024/02/12 12:49:38:667,0.2107,-0.1939,-9.9719,97,false
2024/02/12 12:49:38:827,0.2298,-0.0551,-9.9719,97,false
2024/02/12 12:49:38:988,0.2179,-0.158,-9.9575,97,false
2024/02/12 12:49:39:147,0.2011,-0.1628,-9.9264,97,false
2024/02/12 12:49:39:307,0.2729,-0.1341,-9.9288,97,false
2024/02/12 12:49:39:468,0.2705,-0.067,-9.9862,97,false
2024/02/12 12:49:39:627,0.1915,-0.1269,-9.9719,97,false
2024/02/12 12:49:39:787,0.1987,-0.1365,-9.9982,97,false
2024/02/12 12:49:39:948,0.2466,-0.1293,-9.9264,97,false
2024/02/12 12:49:40:107,0.2394,-0.2227,-9.9671,97,false
2024/02/12 12:49:40:268,0.1676,-0.1389,-9.9,97,false
2024/02/12 12:49:40:429,0.2083,-0.1939,-9.9719,97,false
2024/02/12 12:49:40:588,0.2418,-0.17,-9.9264,97,false
2024/02/12 12:49:40:748,0.2442,-0.0982,-9.9599,97,false
2024/02/12 12:49:40:909,0.2394,-0.091,-9.9479,97,false
2024/02/12 12:49:41:069,0.2274,-0.1508,-10.0006,97,false
2024/02/12 12:49:41:228,0.2298,-0.1365,-9.9527,97,false
2024/02/12 12:49:41:389,0.1987,-0.1293,-9.9096,97,false
2024/02/12 12:49:41:548,0.2705,-0.2107,-9.979,97,false
2024/02/12 12:49:41:708,0.2298,-0.2083,-9.9766,97,false
2024/02/12 12:49:41:870,0.1844,-0.1269,-9.9359,97,false
2024/02/12 12:49:42:029,0.1796,-0.0958,-9.979,97,false
2024/02/12 12:49:42:189,0.2155,-0.1748,-9.9742,97,false
2024/02/12 12:49:42:350,0.1915,-0.1389,-9.9407,97,false
2024/02/12 12:49:42:509,0.1867,-0.0958,-9.9359,97,false
2024/02/12 12:49:42:670,0.2155,-0.1389,-9.9527,97,false
2024/02/12 12:49:42:831,0.1724,-0.1628,-9.9742,97,false
2024/02/12 12:49:42:989,0.2251,-0.1006,-9.9431,97,false
2024/02/12 12:49:43:150,0.1867,-0.0479,-9.9096,97,false
2024/02/12 12:49:43:311,0.2825,-0.1245,-9.9335,97,false
2024/02/12 12:49:43:471,0.2993,-0.1245,-9.9719,97,false
2024/02/12 12:49:43:630,0.2442,-0.1197,-9.9814,97,false
2024/02/12 12:49:43:791,0.1891,-0.1389,-9.9479,97,false
2024/02/12 12:49:43:950,0.2346,-0.146,-9.9623,97,false
2024/02/12 12:49:44:110,0.2849,-0.0934,-9.9814,97,false
2024/02/12 12:49:44:272,0.1628,-0.1053,-9.924,97,false
2024/02/12 12:49:44:430,0.237,-0.1101,-9.991,97,false
2024/02/12 12:49:44:591,0.2705,-0.1293,-10.0149,97,false
2024/02/12 12:49:44:752,0.2562,-0.1341,-9.9695,97,false
2024/02/12 12:49:44:911,0.2394,-0.091,-9.9766,97,false
2024/02/12 12:49:45:072,0.2729,-0.1628,-9.9934,97,false
2024/02/12 12:49:45:232,0.1915,-0.0575,-9.9814,97,false
2024/02/12 12:49:45:391,0.2418,-0.1317,-9.9455,97,false
2024/02/12 12:49:45:551,0.1772,-0.1389,-9.9383,97,false
2024/02/12 12:49:45:712,0.1844,-0.1484,-9.9647,97,false
2024/02/12 12:49:45:872,0.1556,-0.091,-9.9288,97,false
2024/02/12 12:49:46:031,0.1915,-0.1006,-9.9527,97,false
2024/02/12 12:49:46:193,0.2179,-0.1365,-10.0102,97,false
2024/02/12 12:49:46:352,0.1844,-0.1197,-9.9407,97,false
2024/02/12 12:49:46:512,0.1724,-0.1556,-9.9838,97,false
2024/02/12 12:49:46:674,0.1724,-0.0838,-9.9407,97,false
2024/02/12 12:49:46:832,0.2634,0.0072,-10.0197,97,false
2024/02/12 12:49:46:992,0.2131,-0.1532,-9.9455,97,false
2024/02/12 12:49:47:153,0.2466,-0.067,-9.9503,97,false
2024/02/12 12:49:47:312,0.2442,-0.0862,-9.991,97,false
2024/02/12 12:49:47:473,0.2514,-0.1293,-9.9671,97,false
2024/02/12 12:49:47:633,0.2538,-0.0862,-9.9671,97,false
