Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Usual Walking
2023-09-12 20:00:00.016,3.8523,-6.4883,3.0119,81,False,0
2023-09-12 20:00:00.170,1.8268,-3.1173,2.885,81,False,0
2023-09-12 20:00:00.334,4.6543,-11.4156,4.0797,81,False,0
2023-09-12 20:00:00.497,4.8171,-9.6845,2.2051,81,False,0
2023-09-12 20:00:00.655,1.7837,-7.2736,3.3615,81,False,0
2023-09-12 20:00:00.816,1.8771,-7.1012,-1.1875,81,False,0
2023-09-12 20:00:00.978,2.9353,-11.576,-0.9457,81,False,0
2023-09-12 20:00:01.137,2.3176,-9.0716,0.3112,81,False,0
2023-09-12 20:00:01.297,1.8435,-8.2408,3.8882,81,False,0
2023-09-12 20:00:01.458,0.4645,-11.4227,0.2083,81,False,0
2023-09-12 20:00:01.617,4.3407,-14.2287,4.5945,81,False,0
2023-09-12 20:00:01.777,1.9178,-4.81,-4.786,81,False,0
2023-09-12 20:00:01.939,1.8268,-13.8241,-0.9601,81,False,0
2023-09-12 20:00:02.096,2.7797,-3.5171,-0.4501,81,False,0
2023-09-12 20:00:17.078,2.0399,-3.8834,8.6455,81,False,0
2023-09-12 20:00:17.100,2.308,-3.984,8.6407,81,False,0
2023-09-12 20:00:17.225,2.2817,-4.7788,9.8521,81,False,0
2023-09-12 20:00:17.392,-0.6823,-3.3902,8.2791,81,False,0
2023-09-12 20:00:17.552,2.1428,-3.2513,9.0501,81,False,0
2023-09-12 20:00:20.147,2.399,-5.636,4.7621,81,False,0
2023-09-12 20:00:20.168,7.4364,-3.6392,5.2433,81,False,0
2023-09-12 20:00:20.171,7.6231,-3.2513,5.2792,81,False,0
2023-09-12 20:00:20.282,7.6567,-1.6903,5.1116,81,False,0
2023-09-12 20:00:20.449,7.2137,-2.7294,6.1603,81,False,0
2023-09-12 20:00:20.608,6.7876,-2.5091,7.2089,81,False,0
2023-09-12 20:00:21.692,5.4564,-2.1859,7.6614,81,False,0
2023-09-12 20:00:21.700,3.4524,-2.6719,8.4827,81,False,0
2023-09-12 20:00:21.726,3.3902,-2.8036,8.5617,81,False,0
2023-09-12 20:00:21.892,2.9449,-2.7102,8.4683,81,False,0
2023-09-12 20:00:22.053,2.9951,-2.6743,8.837,81,False,0
2023-09-12 20:00:22.213,2.6073,-2.7557,8.9735,81,False,0
2023-09-12 20:00:26.807,2.976,-5.4731,0.6129,81,False,0
2023-09-12 20:00:26.878,-5.9879,-8.3653,-3.146,81,False,0
2023-09-12 20:00:27.045,-4.0845,-8.7101,0.1532,81,False,0
2023-09-12 20:00:27.202,-4.8914,-9.3901,-0.1125,81,False,0
2023-09-12 20:00:33.729,-5.3606,-6.1627,0.158,81,False,0
2023-09-12 20:00:33.737,6.6032,-11.3294,-2.7461,81,False,0
