Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Label
2024-02-13 01:30:00.063,-9.6414,-0.7015,1.4748,50,False,faceRight
2024-02-13 01:30:00.209,-9.6199,-0.6895,1.4437,50,False,faceRight
2024-02-13 01:30:00.367,-9.5313,-0.6919,1.4198,50,False,faceRight
2024-02-13 01:30:00.529,-9.6247,-0.7015,1.4676,50,False,faceRight
2024-02-13 01:30:00.687,-9.5792,-0.7087,1.4198,50,False,faceRight
2024-02-13 01:30:00.847,-9.5912,-0.6512,1.4533,50,False,faceRight
2024-02-13 01:30:01.010,-9.6438,-0.6728,1.4317,50,False,faceRight
2024-02-13 01:30:01.167,-9.5553,-0.6393,1.4389,50,False,faceRight
2024-02-13 01:30:01.327,-9.5313,-0.723,1.47,50,False,faceRight
2024-02-13 01:30:01.488,-9.5672,-0.7183,1.4557,50,False,faceRight
2024-02-13 01:30:01.646,-9.6055,-0.6919,1.47,50,False,faceRight
2024-02-13 01:30:01.807,-9.6055,-0.656,1.4269,50,False,faceRight
2024-02-13 01:30:01.968,-9.5936,-0.6752,1.4581,50,False,faceRight
2024-02-13 01:30:02.126,-9.6438,-0.6369,1.4653,50,False,faceRight
2024-02-13 01:30:02.286,-9.5888,-0.6129,1.4389,50,False,faceRight
2024-02-13 01:30:02.447,-9.5696,-0.656,1.4629,50,False,faceRight
2024-02-13 01:30:02.600,-9.5912,-0.6991,1.4581,50,False,faceRight
2024-02-13 01:30:02.762,-9.5792,-0.7015,1.494,50,False,faceRight
2024-02-13 01:30:02.927,-9.5457,-0.7015,1.403,50,False,faceRight
2024-02-13 01:30:03.084,-9.6247,-0.6823,1.5036,50,False,faceRight
2024-02-13 01:30:03.245,-9.5624,-0.7159,1.4581,50,False,faceRight
2024-02-13 01:30:03.407,-9.5529,-0.7015,1.4246,50,False,faceRight
2024-02-13 01:30:03.565,-9.5529,-0.7494,1.5107,50,False,faceRight
2024-02-13 01:30:03.732,-9.6319,-0.6536,1.5012,50,False,faceRight
2024-02-13 01:30:03.886,-9.5744,-0.6943,1.4126,50,False,faceRight
2024-02-13 01:30:04.059,-9.596,-0.6752,1.4389,50,False,faceRight
2024-02-13 01:30:04.206,-9.5816,-0.6823,1.5083,50,False,faceRight
2024-02-13 01:30:04.365,-9.5648,-0.6823,1.4269,50,False,faceRight
2024-02-13 01:30:04.525,-9.6151,-0.6464,1.4198,50,False,faceRight
2024-02-13 01:30:04.685,-9.5529,-0.6536,1.4317,50,False,faceRight
2024-02-13 01:30:04.843,-9.5672,-0.644,1.4317,50,False,faceRight
2024-02-13 01:30:05.008,-9.5409,-0.6129,1.4413,50,False,faceRight
2024-02-13 01:30:05.165,-9.584,-0.6752,1.4629,50,False,faceRight
2024-02-13 01:30:05.325,-9.6103,-0.6608,1.4269,50,False,faceRight
2024-02-13 01:30:05.483,-9.6438,-0.7135,1.4605,50,False,faceRight
2024-02-13 01:30:05.644,-9.596,-0.7039,1.4581,50,False,faceRight
2024-02-13 01:30:05.805,-9.6079,-0.68,1.4222,50,False,faceRight
2024-02-13 01:30:05.963,-9.5624,-0.6943,1.391,50,False,faceRight
2024-02-13 01:30:06.124,-9.5936,-0.6656,1.4269,50,False,faceRight
2024-02-13 01:30:06.285,-9.6055,-0.6273,1.4772,50,False,faceRight
2024-02-13 01:30:06.443,-9.5577,-0.6105,1.4748,50,False,faceRight
2024-02-13 01:30:06.604,-9.5193,-0.6823,1.4198,50,False,faceRight
2024-02-13 01:30:06.764,-9.5337,-0.6895,1.4413,50,False,faceRight
2024-02-13 01:30:06.925,-9.5648,-0.6153,1.4509,50,False,faceRight
2024-02-13 01:30:07.083,-9.5624,-0.6105,1.47,50,False,faceRight
2024-02-13 01:30:07.244,-9.5433,-0.6776,1.4724,50,False,faceRight
2024-02-13 01:30:07.404,-9.6247,-0.6273,1.4461,50,False,faceRight
2024-02-13 01:30:07.563,-9.6055,-0.644,1.4533,50,False,faceRight
2024-02-13 01:30:07.724,-9.5577,-0.7278,1.4533,50,False,faceRight
2024-02-13 01:30:07.882,-9.6319,-0.6704,1.4389,50,False,faceRight
2024-02-13 01:30:08.060,-9.5864,-0.6129,1.4892,50,False,faceRight
2024-02-13 01:30:08.205,-9.6175,-0.644,1.482,50,False,faceRight
2024-02-13 01:30:08.357,-9.572,-0.6991,1.4269,50,False,faceRight
2024-02-13 01:30:08.520,-9.56,-0.6345,1.4413,50,False,faceRight
2024-02-13 01:30:08.678,-9.6031,-0.7566,1.4916,50,False,faceRight
2024-02-13 01:30:08.837,-9.56,-0.6416,1.4533,50,False,faceRight
2024-02-13 01:30:08.998,-9.596,-0.7063,1.4796,50,False,faceRight
2024-02-13 01:30:09.158,-9.5624,-0.5962,1.4605,50,False,faceRight
2024-02-13 01:30:09.320,-9.5505,-0.6704,1.4772,50,False,faceRight
2024-02-13 01:30:09.477,-9.584,-0.6416,1.5323,50,False,faceRight
2024-02-13 01:30:09.638,-9.5696,-0.6393,1.5083,50,False,faceRight
2024-02-13 01:30:09.803,-9.5936,-0.6584,1.4724,50,False,faceRight
2024-02-13 01:30:09.960,-9.5672,-0.7302,1.4796,50,False,faceRight
2024-02-13 01:30:10.123,-9.6031,-0.7302,1.494,50,False,faceRight
2024-02-13 01:30:10.282,-9.5984,-0.723,1.4772,50,False,faceRight
2024-02-13 01:30:10.442,-9.5864,-0.6033,1.4772,50,False,faceRight
2024-02-13 01:30:10.604,-9.5936,-0.7326,1.4724,50,False,faceRight
2024-02-13 01:30:10.762,-9.5768,-0.7422,1.4605,50,False,faceRight
2024-02-13 01:30:10.926,-9.6055,-0.6632,1.4676,50,False,faceRight
2024-02-13 01:30:11.081,-9.5648,-0.7278,1.4988,50,False,faceRight
2024-02-13 01:30:11.242,-9.6367,-0.7063,1.4724,50,False,faceRight
2024-02-13 01:30:11.402,-9.56,-0.7015,1.4365,50,False,faceRight
2024-02-13 01:30:11.562,-9.5481,-0.6153,1.4485,50,False,faceRight
2024-02-13 01:30:11.722,-9.6175,-0.6536,1.4964,50,False,faceRight
2024-02-13 01:30:11.881,-9.56,-0.6177,1.4724,50,False,faceRight
2024-02-13 01:30:12.051,-9.5696,-0.6919,1.4222,50,False,faceRight
2024-02-13 01:30:12.201,-9.5361,-0.6919,1.4772,50,False,faceRight
2024-02-13 01:30:12.360,-9.6079,-0.7254,1.4269,50,False,faceRight
2024-02-13 01:30:12.525,-9.6103,-0.6967,1.4341,50,False,faceRight
2024-02-13 01:30:12.680,-9.5888,-0.6847,1.4533,50,False,faceRight
2024-02-13 01:30:12.840,-9.5505,-0.668,1.4485,50,False,faceRight
2024-02-13 01:30:13.012,-9.5936,-0.6823,1.4605,50,False,faceRight
2024-02-13 01:30:13.157,-9.572,-0.7278,1.4222,50,False,faceRight
2024-02-13 01:30:13.319,-9.5648,-0.7159,1.4389,50,False,faceRight
2024-02-13 01:30:13.480,-9.6247,-0.6273,1.4653,50,False,faceRight
2024-02-13 01:30:13.639,-9.6151,-0.6919,1.494,50,False,faceRight
2024-02-13 01:30:13.799,-9.5385,-0.6632,1.4509,50,False,faceRight
2024-02-13 01:30:13.959,-9.5672,-0.6847,1.4581,50,False,faceRight
2024-02-13 01:30:14.118,-9.5888,-0.6871,1.4892,50,False,faceRight
2024-02-13 01:30:14.278,-9.6438,-0.7063,1.4317,50,False,faceRight
2024-02-13 01:30:14.439,-9.5888,-0.6895,1.4676,50,False,faceRight
