Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Label
2024-02-12 14:00:00.157,0.2346,-0.1604,-9.9048,93,False,faceDown
2024-02-12 14:00:00.317,0.2298,-0.1341,-9.9288,93,False,faceDown
2024-02-12 14:00:00.478,0.1939,-0.1365,-9.9766,93,False,faceDown
2024-02-12 14:00:00.637,0.1963,-0.1269,-9.9072,93,False,faceDown
2024-02-12 14:00:00.797,0.2083,-0.1269,-9.9551,93,False,faceDown
2024-02-12 14:00:00.958,0.2083,-0.1484,-9.9671,93,False,faceDown
2024-02-12 14:00:01.117,0.2251,-0.158,-9.979,93,False,faceDown
2024-02-12 14:00:01.275,0.1772,-0.1796,-9.9814,93,False,faceDown
2024-02-12 14:00:01.437,0.2059,-0.2274,-9.9431,93,False,faceDown
2024-02-12 14:00:01.595,0.1724,-0.1676,-9.9814,93,False,faceDown
2024-02-12 14:00:01.756,0.2131,-0.17,-9.9838,93,False,faceDown
2024-02-12 14:00:01.916,0.2538,-0.1844,-9.9288,93,False,faceDown
2024-02-12 14:00:02.075,0.182,-0.1149,-9.9647,93,False,faceDown
2024-02-12 14:00:02.235,0.1772,-0.1173,-9.9455,93,False,faceDown
2024-02-12 14:00:02.395,0.182,-0.1508,-9.8761,93,False,faceDown
2024-02-12 14:00:02.555,0.2131,-0.1556,-9.9503,93,False,faceDown
2024-02-12 14:00:02.714,0.1844,-0.1652,-9.9383,93,False,faceDown
2024-02-12 14:00:02.875,0.1796,-0.1484,-9.9383,93,False,faceDown
2024-02-12 14:00:03.034,0.2274,-0.1173,-9.9288,93,False,faceDown
2024-02-12 14:00:03.193,0.1724,-0.1413,-9.9192,93,False,faceDown
2024-02-12 14:00:03.354,0.1963,-0.1867,-9.9503,93,False,faceDown
2024-02-12 14:00:03.512,0.1676,-0.1796,-9.9431,93,False,faceDown
2024-02-12 14:00:03.671,0.2203,-0.1748,-9.991,93,False,faceDown
2024-02-12 14:00:03.833,0.249,-0.1532,-9.9742,93,False,faceDown
2024-02-12 14:00:03.992,0.2059,-0.2035,-9.9383,93,False,faceDown
2024-02-12 14:00:04.152,0.2227,-0.103,-10.0006,93,False,faceDown
2024-02-12 14:00:04.312,0.2729,-0.1532,-9.9695,93,False,faceDown
2024-02-12 14:00:04.471,0.1844,-0.2729,-9.9264,93,False,faceDown
2024-02-12 14:00:04.631,0.1844,-0.1987,-9.9407,93,False,faceDown
2024-02-12 14:00:04.792,0.2514,-0.1604,-9.991,93,False,faceDown
2024-02-12 14:00:04.951,0.2969,-0.1652,-9.9695,93,False,faceDown
2024-02-12 14:00:05.110,0.261,-0.1245,-9.9527,93,False,faceDown
2024-02-12 14:00:05.270,0.2346,-0.1413,-9.9383,93,False,faceDown
2024-02-12 14:00:05.430,0.2011,-0.1293,-9.9671,93,False,faceDown
2024-02-12 14:00:05.587,0.2011,-0.1748,-9.9719,93,False,faceDown
2024-02-12 14:00:05.751,0.2801,-0.1915,-9.9024,93,False,faceDown
2024-02-12 14:00:05.909,0.1891,-0.1604,-9.9838,93,False,faceDown
2024-02-12 14:00:06.068,0.1963,-0.1532,-9.9431,93,False,faceDown
2024-02-12 14:00:06.229,0.17,-0.1556,-9.9958,93,False,faceDown
2024-02-12 14:00:06.388,0.2059,-0.1772,-9.9383,93,False,faceDown
2024-02-12 14:00:06.547,0.2538,-0.1437,-9.9814,93,False,faceDown
2024-02-12 14:00:06.708,0.2251,-0.1341,-9.9503,93,False,faceDown
2024-02-12 14:00:06.866,0.1413,-0.1365,-10.0078,93,False,faceDown
2024-02-12 14:00:07.026,0.2346,-0.1365,-9.9455,93,False,faceDown
2024-02-12 14:00:07.187,0.2179,-0.1724,-9.9048,93,False,faceDown
2024-02-12 14:00:07.346,0.182,-0.182,-9.9647,93,False,faceDown
2024-02-12 14:00:07.505,0.2059,-0.1796,-9.9647,93,False,faceDown
2024-02-12 14:00:07.666,0.2418,-0.158,-9.9264,93,False,faceDown
2024-02-12 14:00:07.824,0.1796,-0.1508,-9.9048,93,False,faceDown
2024-02-12 14:00:07.984,0.2466,-0.1532,-9.9096,93,False,faceDown
2024-02-12 14:00:08.146,0.2083,-0.1532,-9.9072,93,False,faceDown
2024-02-12 14:00:08.304,0.2825,-0.1796,-9.9,93,False,faceDown
2024-02-12 14:00:08.464,0.2298,-0.237,-9.9168,93,False,faceDown
2024-02-12 14:00:08.624,0.2658,-0.158,-9.9551,93,False,faceDown
2024-02-12 14:00:08.783,0.2322,-0.17,-9.9024,93,False,faceDown
2024-02-12 14:00:08.943,0.2155,-0.1532,-9.9527,93,False,faceDown
2024-02-12 14:00:09.103,0.1963,-0.1915,-9.9503,93,False,faceDown
2024-02-12 14:00:09.262,0.182,-0.17,-9.9455,93,False,faceDown
2024-02-12 14:00:09.422,0.2274,-0.1652,-9.9838,93,False,faceDown
2024-02-12 14:00:09.583,0.2322,-0.1389,-9.9551,93,False,faceDown
2024-02-12 14:00:09.741,0.1652,-0.1197,-9.9766,93,False,faceDown
2024-02-12 14:00:09.901,0.2227,-0.1484,-9.8761,93,False,faceDown
2024-02-12 14:00:10.062,0.2155,-0.1556,-9.9359,93,False,faceDown
2024-02-12 14:00:10.221,0.2059,-0.1532,-9.979,93,False,faceDown
2024-02-12 14:00:10.381,0.2394,-0.1173,-9.9695,93,False,faceDown
2024-02-12 14:00:10.542,0.1772,-0.1628,-9.9599,93,False,faceDown
2024-02-12 14:00:10.700,0.1939,-0.1197,-9.991,93,False,faceDown
2024-02-12 14:00:10.861,0.249,-0.2059,-9.9503,93,False,faceDown
2024-02-12 14:00:11.021,0.2227,-0.2227,-9.9144,93,False,faceDown
2024-02-12 14:00:11.179,0.2442,-0.1891,-9.9168,93,False,faceDown
2024-02-12 14:00:11.339,0.2179,-0.1437,-9.9503,93,False,faceDown
2024-02-12 14:00:11.500,0.1844,-0.1652,-9.9551,93,False,faceDown
2024-02-12 14:00:11.658,0.2777,-0.1844,-9.9192,93,False,faceDown
2024-02-12 14:00:11.818,0.2274,-0.1437,-9.9503,93,False,faceDown
2024-02-12 14:00:11.979,0.1963,-0.1652,-9.9288,93,False,faceDown
2024-02-12 14:00:12.138,0.1365,-0.1748,-9.9671,93,False,faceDown
2024-02-12 14:00:12.297,0.1915,-0.1389,-9.9311,93,False,faceDown
2024-02-12 14:00:12.457,0.1748,-0.2346,-9.9311,93,False,faceDown
2024-02-12 14:00:12.617,0.17,-0.146,-9.9719,93,False,faceDown
2024-02-12 14:00:12.777,0.1867,-0.1796,-9.8809,93,False,faceDown
2024-02-12 14:00:12.938,0.237,-0.1867,-9.8785,93,False,faceDown
2024-02-12 14:00:13.096,0.2514,-0.146,-9.9407,93,False,faceDown
2024-02-12 14:00:13.256,0.1915,-0.1341,-9.9144,93,False,faceDown
2024-02-12 14:00:13.416,0.1963,-0.1437,-9.9455,93,False,faceDown
2024-02-12 14:00:13.575,0.2227,-0.1508,-9.912,93,False,faceDown
2024-02-12 14:00:13.735,0.2011,-0.1149,-9.9407,93,False,faceDown
2024-02-12 14:00:13.897,0.2346,-0.0934,-9.9623,93,False,faceDown
2024-02-12 14:00:14.054,0.2442,-0.1628,-9.9814,93,False,faceDown
2024-02-12 14:00:14.213,0.2203,-0.1245,-9.9455,93,False,faceDown
2024-02-12 14:00:14.374,0.2059,-0.146,-9.9671,93,False,faceDown
2024-02-12 14:00:14.533,0.182,-0.1891,-10.0365,93,False,faceDown
2024-02-12 14:00:14.693,0.1867,-0.146,-9.9359,93,False,faceDown
2024-02-12 14:00:14.854,0.2203,-0.1293,-9.9407,93,False,faceDown
2024-02-12 14:00:15.013,0.2322,-0.2059,-9.9383,93,False,faceDown
2024-02-12 14:00:15.173,0.237,-0.2227,-9.9503,93,False,faceDown
2024-02-12 14:00:15.334,0.2705,-0.2203,-9.9719,93,False,faceDown
2024-02-12 14:00:15.491,0.2083,-0.1365,-10.0054,93,False,faceDown
