Date and Time, X-Value, Y-Value, Z-Value, Battery Level, Currently Charging?,Label
2024-02-13 16:30:00.015,0.0311,-0.1676,9.663,100,False,faceUp
2024-02-13 16:30:00.175,0.0742,-0.2394,9.7205,100,False,faceUp
2024-02-13 16:30:00.335,0.0287,-0.2131,9.6893,100,False,faceUp
2024-02-13 16:30:00.494,0.0407,-0.2107,9.7109,100,False,faceUp
2024-02-13 16:30:00.657,0.0646,-0.2179,9.6702,100,False,faceUp
2024-02-13 16:30:00.815,0.0551,-0.1939,9.7324,100,False,faceUp
2024-02-13 16:30:00.975,0.067,-0.1532,9.7109,100,False,faceUp
2024-02-13 16:30:01.135,0.0646,-0.2059,9.7492,100,False,faceUp
2024-02-13 16:30:01.294,0.0287,-0.2179,9.7875,100,False,faceUp
2024-02-13 16:30:01.454,0.0263,-0.1532,9.7133,100,False,faceUp
2024-02-13 16:30:01.616,0.0622,-0.1413,9.7348,100,False,faceUp
2024-02-13 16:30:01.774,0.0072,-0.2298,9.7109,100,False,faceUp
2024-02-13 16:30:01.928,-0.0048,-0.17,9.7252,100,False,faceUp
2024-02-13 16:30:02.095,0.0503,-0.1987,9.7564,100,False,faceUp
2024-02-13 16:30:02.254,0.0766,-0.182,9.7324,100,False,faceUp
2024-02-13 16:30:02.414,0.0694,-0.1221,9.7372,100,False,faceUp
2024-02-13 16:30:02.574,0.0,-0.2083,9.7372,100,False,faceUp
2024-02-13 16:30:02.734,0.0431,-0.1939,9.6774,100,False,faceUp
2024-02-13 16:30:02.921,0.0694,-0.1915,9.6798,100,False,faceUp
2024-02-13 16:30:03.055,0.0718,-0.1939,9.7181,100,False,faceUp
2024-02-13 16:30:03.213,0.067,-0.1748,9.6869,100,False,faceUp
2024-02-13 16:30:03.373,0.0072,-0.1508,9.6845,100,False,faceUp
2024-02-13 16:30:03.533,0.0503,-0.1365,9.6798,100,False,faceUp
2024-02-13 16:30:03.692,0.0575,-0.1844,9.7372,100,False,faceUp
2024-02-13 16:30:03.853,-0.0144,-0.2155,9.7037,100,False,faceUp
2024-02-13 16:30:04.013,0.0862,-0.1341,9.6965,100,False,faceUp
2024-02-13 16:30:04.172,0.0096,-0.2083,9.7252,100,False,faceUp
2024-02-13 16:30:04.332,-0.0215,-0.1748,9.6941,100,False,faceUp
2024-02-13 16:30:04.493,0.1077,-0.1939,9.7037,100,False,faceUp
2024-02-13 16:30:04.652,0.0958,-0.1772,9.7827,100,False,faceUp
2024-02-13 16:30:04.811,0.0646,-0.2298,9.6893,100,False,faceUp
2024-02-13 16:30:04.971,-0.0359,-0.17,9.7851,100,False,faceUp
2024-02-13 16:30:05.131,0.0359,-0.146,9.7324,100,False,faceUp
2024-02-13 16:30:05.291,0.0479,-0.1772,9.7252,100,False,faceUp
2024-02-13 16:30:05.452,-0.0335,-0.17,9.7372,100,False,faceUp
2024-02-13 16:30:05.614,0.0646,-0.1987,9.754,100,False,faceUp
2024-02-13 16:30:05.764,0.1053,-0.1891,9.7851,100,False,faceUp
2024-02-13 16:30:05.927,0.0742,-0.1484,9.7659,100,False,faceUp
2024-02-13 16:30:06.090,0.0862,-0.2011,9.7348,100,False,faceUp
2024-02-13 16:30:06.251,0.0694,-0.2466,9.7324,100,False,faceUp
2024-02-13 16:30:06.410,-0.0263,-0.158,9.73,100,False,faceUp
2024-02-13 16:30:06.570,0.012,-0.1676,9.7348,100,False,faceUp
2024-02-13 16:30:06.730,0.091,-0.158,9.7995,100,False,faceUp
2024-02-13 16:30:06.924,-0.0024,-0.2945,9.6989,100,False,faceUp
2024-02-13 16:30:07.051,0.0958,-0.1604,9.7037,100,False,faceUp
2024-02-13 16:30:07.209,0.0335,-0.2346,9.7612,100,False,faceUp
2024-02-13 16:30:07.371,0.0335,-0.2083,9.7133,100,False,faceUp
2024-02-13 16:30:07.529,0.0168,-0.1532,9.6726,100,False,faceUp
2024-02-13 16:30:07.690,0.0599,-0.2059,9.6822,100,False,faceUp
2024-02-13 16:30:07.851,0.1077,-0.2586,9.7252,100,False,faceUp
2024-02-13 16:30:08.009,-0.0479,-0.1939,9.7109,100,False,faceUp
2024-02-13 16:30:08.169,0.0934,-0.2059,9.7205,100,False,faceUp
2024-02-13 16:30:08.330,0.0359,-0.1867,9.7276,100,False,faceUp
2024-02-13 16:30:08.489,0.0742,-0.1413,9.7396,100,False,faceUp
2024-02-13 16:30:08.650,-0.0383,-0.2203,9.7588,100,False,faceUp
2024-02-13 16:30:08.809,0.0311,-0.1317,9.754,100,False,faceUp
